TABLE,VAR,FORMAT,FORMAT.DESC,VAR.L,VAR.DESC
EIPGM,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
EIPGM,REGION,C,2,School Region,Auto-fills school region information.
EIPGM,COUNTY,C,3,School County,Auto-fills school county information.
EIPGM,DISTRICT,C,4,School District,Auto-fills school district information.
EIPGM,DELAY_STAT,C,4,Delay Reason/Status,"If there was a delay in adding the IFSP information, the reason is selected in this field. See Code Table."
EIPGM,DIST_TYPE,C,2,District Type,Auto-fills district type information.
EIPGM,COUNTY_C,C,3,County Code,Auto-fills county code information.
EIPGM,DISTRICT_C,C,5,District Code,Auto-fills district code information.
EITRACK,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
EITRACK,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
EITRACK,REF_SCHL_D,D,8,Date Referred to School,Stores Date that Participant was referred to School District/LEA.
EITRACK,REF_DECL_D,D,8,Date Parent Declined,Stores the Date that the Parent Declined Referral.
EITRACK,TRN_MTNG_D,D,8,Meeting Date,Stores the Transition Meeting Date.
EITRACK,SCHOOLNAME,C,40,School Name,Stores the School Name.
EITRACK,REGION,C,2,Region,School Region Information.
EITRACK,COUNTY,C,3,County,School County Information.
EITRACK,DISTRICT,C,4,District,School District Information.
EITRACK,DIST_TYPE,C,2,District Type,District Type Code.
EITRACK,SCREEN_D,D,8,Screening Date,Stores Screening Date.
EITRACK,GRP_ASSM_D,D,8,Group Assessment Date,Stores Group Assessment Date.
EITRACK,AC_PERF_D,D,8,Academic Performance Assessment Date,Stores the Scheduled Date for the Academic Performance Assessment.
EITRACK,COMMUNIC_D,D,8,Communication Assessment Date,Stores the Scheduled Date for the Communication Assessment.
EITRACK,GEN_INTL_D,D,8,General Intelligence Assessment Date,Stores the Scheduled Date for the General Intelligence Assessment.
EITRACK,SOC_EMTH_D,D,8,Social Emotional Assessment Date,Stores the Scheduled Date for the Social Emotional Assessment.
EITRACK,HEALTH_D,D,8,Health Assessment Date,Stores the Scheduled Date for the Health Assessment.
EITRACK,HEARING_D,D,8,Hearing Assessment Date,Stores the Scheduled Date for the Hearing Assessment.
EITRACK,VISION_D,D,8,Vision Assessment Date,Stores the Scheduled Date for the Vision Assessment.
EITRACK,MOTOR_AB_D,D,8,Motor Abilities Assessment Date,Stores the Scheduled Date for the Motor Abilities Assessment.
EITRACK,IEP_COMP_D,D,8,IEP Completed Date,Stores the Date that the IEP was completed.
EITRACK,SERV_BEG_D,D,8,Service Begin Date,Stores the Date that Services Began.
EITRACK,RSN_NO_SRV,M,10,Reason Service Did Not Begin,Text box where users can explain why the Services did not begin on the child's third birthday.
EITRACK,EL_PRE_K_S,C,1,Special Education State Pre K Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,EL_PRE_K_C,C,20,Special Education State Pre K Comment,Entered from the Early Intervention to Early Childhood Tracking Form.
EITRACK,EL_HEAD_S,C,1,Special Education Head Start Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,EL_HEAD_C,C,20,Special Education Head Start Comment,Entered from the Early Intervention to Early Childhood Tracking Form.
EITRACK,EL_PRIV_S,C,1,Special Education Private Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,EL_PRIV_C,C,20,Special Education Private Comment,Entered from the Early Intervention to Early Childhood Tracking Form.
EITRACK,EL_HOMEB_S,C,1,Special Education Homebound Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,EL_HOMEB_C,C,20,Special Education Homebound Comment,Entered from the Early Intervention to Early Childhood Tracking Form.
EITRACK,EL_SP_ED_S,C,1,Special Education Self Contained Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,EL_SP_ED_C,C,20,Special Education Self Contained Comment,Entered from the Early Intervention to Early Childhood Tracking Form.
EITRACK,NO_PRE_K_S,C,1,Not Special Ed State Pre K Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,NO_HEAD_S,C,1,Not Special Ed Head Start Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,NO_PRIV_S,C,1,Not Special Ed Private Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,NO_PRG_S,C,1,Not Special Ed No Program Desired Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,PRNT_DECL,C,1,Parent Declined Flag,"""Y"" = Yes, ""N"" or Blank = No."
EITRACK,DECL_RESN,C,20,Parent Declined Reason,Text box where users can give the reason the parent declined special services.
EITRACK,DECL_SERV,C,20,Services Declined,Stores which services were declined.
EITRACK,DECLINE_D,D,8,Date Declined,Date that parent declined special services.
EITRACK,FORM_OPER,C,20,Completed By,Name of Employee who completed the tracking form.
EITRACK,FORM_TITLE,C,20,Completed By Title,Title of Employee who completed the tracking form.
EITRACK,OPERATOR_I,N,9,Operator ID,User Making Last Update.
EITRACK,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
EITRACK,UPLOAD_F,C,1,Upload Indicator,See Code Table.
EITRACK,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
EITRACK,COUNTY_C,C,3,County Code,County Code Information.
EITRACK,DISTRICT_C,C,5,District Code,Distict Code Information.
ELIGRULE,PGM_ID_C,C,4,Program ID Code,See Code Table.
ELIGRULE,EFF_FROM_D,D,8,Effective From Date,Start Date of Eligibility.
ELIGRULE,EFF_THRU_D,D,8,Effective Through Date,End Date of Eligibility.
ELIGRULE,SEX_C,C,4,Sex Code,See Code Table.
ELIGRULE,CATEGORY_C,C,4,Category,See Code Table.
ELIGRULE,HSEHLD_N,N,2,Household Size,Number living in the household
ELIGRULE,MIN_AGE_N,N,2,Minimum Age,Minimum age eligible for program.
ELIGRULE,MAX_AGE_N,N,2,Maximum Age,Maximum age eligible for program.
ELIGRULE,MIN_INC_A,N,6,Minimum Income,Minimum income eligible for program.
ELIGRULE,MAX_INC_A,N,6,Maximum Income,Maximum income eligible for progra.m.
ELIGRULE,COMMENTS_M,M,4,Comments,Used to record additional notes.
ELIGRULE,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ELIGRULE,OPERATOR_I,N,9,Operator ID,User Making Last Update.
EMPL,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
EMPL,EMPL_ID_I,N,9,Employee ID,User ID of Agency Employee.
EMPL,LAST_NME_T,C,15,Last Name,Employee's Last Name.
EMPL,FRST_NME_T,C,13,First Name,Employee's First Name.
EMPL,MI_INITL_T,C,1,Middle Initial,Employee's Middle Initial.
EMPL,EMP_TITL_T,C,30,Title,Employee's Job Title.
EMPL,JOB_FUNC_C,C,4,Job Function Code,See Code Table.
EMPL,PROV_ID_I,N,9,Provider ID,Provider ID.
EMPL,PROV_SFX_I,N,3,Provider Suffix,Provider Suffix ID.
EMPL,EMP_STAT_C,C,4,Employee Status,See Code Table.
EMPL,EMP_STRT_D,D,8,Start Date,Employee Start Date.
EMPL,EMP_TERM_D,D,8,Termination Date,Employee Termination Date.
EMPL,SUPV_EMP_I,N,9,Supervisor Employee ID,Link to Supervisor Employee Information.
EMPL,EMPL_PSW_T,C,9,Password,Employee's Current Password.
EMPL,PSW_EXPR_D,D,8,Password Expiration Date,Employee's Current Password Expiration Date.
EMPL,LOG_IN_F,L,1,Logged In Indicator,"""T"" = Logged in to Cornerstone. ""F"" = Not Logged in to Cornerstone."
EMPL,LPSW_LOC_I,N,2,Password Location Field,Location of Password.
EMPL,PSW_HT01_T,C,9,Password History Field 1,Most Recent Password.
EMPL,PSW_HT02_T,C,9,Password History Field 2,Next Most Recent Password.
EMPL,PSW_HT03_T,C,9,Password History Field 3,Next Most Recent Password.
EMPL,PSW_HT04_T,C,9,Password History Field 4,Next Most Recent Password.
EMPL,PSW_HT05_T,C,9,Password History Field 5,Next Most Recent Password.
EMPL,PSW_HT06_T,C,9,Password History Field 6,Next Most Recent Password.
EMPL,PSW_HT07_T,C,9,Password History Field 7,Next Most Recent Password.
EMPL,PSW_HT08_T,C,9,Password History Field 8,Next Most Recent Password.
EMPL,PSW_HT09_T,C,9,Password History Field 9,Next Most Recent Password.
EMPL,PSW_HT10_T,C,9,Password History Field 10,Next Most Recent Password.
EMPL,PSW_HT11_T,C,9,Password History Field 11,Next Most Recent Password.
EMPL,PSW_HT12_T,C,9,Password History Field 12,Next Most Recent Password.
EMPL,PSW_HT13_T,C,9,Password History Field 13,Next Most Recent Password.
EMPL,PSW_HT14_T,C,9,Password History Field 14,Next Most Recent Password.
EMPL,PSW_HT15_T,C,9,Password History Field 15,Next Most Recent Password.
EMPL,LIAISON_F,C,1,Liaison Flag,Indicates whether or not Employee is the Cornerstone Liaison.
EMPL,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
EMPL,OPERATOR_I,N,9,Operator ID,User Making Last Update.
EMPL,UPLOAD_F,C,1,Upload Indicator,See Code Table.
EMPL,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
EMPLMSG,EMPL_ID_I,N,9,Employee ID,Provides a Link to the Employee Table.
EMPLMSG,MSGID_I,C,8,Message ID,BOD Message ID.
EMPLMSG,OPEN_F,C,1,Open Flag,Records if the BOD Message has been opened.
EMPLMSG,OPEN_D,D,8,Open Date,Stores the Date that the BOD Message was opened.
EMPLMSG,READ_F,C,1,Read Flag,Records if the BOD Message has been marked as 'Have Read'.
EMPLMSG,READ_D,D/T,8,Read Date,Stores the BOD Message read date.
EMPLPROG,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
EMPLPROG,EMPL_ID_I,N,9,Employee ID,Employee ID .
EMPLPROG,PGM_ID_C,C,4,Program ID Code,Programs to which the Employee is Assigned - See Code Table.
EMPLPROG,EPG_STAT_C,C,4,Employee/Program Status Code,Historical Status within each Program.
EMPLPROG,PGMSTART_D,D,8,Program Start Date,Stores the date that the Employee starts a Program.
EMPLPROG,PGMEND_D,D,8,Program End Date,Stores the date that the Employee is Terminated from a program.
EMPLPROG,LAST_UPD_D,D,8,Date Last Update,Last Update of This Record.
EMPLPROG,UPLOAD_F,C,1,Upload Indicator,See Code Table.
EMPLPROG,OPERATOR_I,N,9,Operator ID,User Making Last Update.
EMPLPROG,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
EMPLSECR,EMPL_ID_I,N,9,Employee ID,Provides a Link to the Employee Table.
EMPLSECR,SCRN_ID_C,C,4,Screen ID Code,Screen ID.
EMPLSECR,SECR_INQ_F,C,1,Security Inquiry Flag Indicator,"""Y"" = Yes, ""N"" or Blank = No."
EMPLSECR,SECR_ADD_F,C,1,Security Add Flag Indicator,"""Y"" = Yes, ""N"" or Blank = No."
EMPLSECR,SECR_UPD_F,C,1,Security Update Flag Indicator,"""Y"" = Yes, ""N"" or Blank = No."
EMPLSECR,SECR_DEL_F,C,1,Security Delete Flag Indicator,"""Y"" = Yes, ""N"" or Blank = No."
EMPLSECR,SECR_SUP_F,C,1,Security Supervisory Flag Indicator,"""Y"" = Yes, ""N"" or Blank = No."
EMPLSECR,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
EMPLSECR,OPERATOR_I,N,9,Operator ID,User Making Last Update.
EODBODHS,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
EODBODHS,PROCESS_C,C,1,Process,EOD or BOD.
EODBODHS,TYPE_C,C,1,Type,Auto EOD/BOD or Manual BOD/Manual EOD.
EODBODHS,DTIME_T,DT,8,Date and Time Run,Date and Time information for EOD process or BOD process.
EODBODHS,SUCCESS_F,C,1,Successful Flag,"""Y"" = Yes, ""N"" or Blank = No."
EODBODHS,MAC_C,C,17,Mac Address,Physical IP Address of the workstation
EODBODHS,OS_C,C,15,Operating System,Type of Operating System on the workstation
EODBODHS,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
EODBODHS,OPERATOR_I,N,9,Operator ID,User Making Last Update
EODBODHS,UPLOAD_F,C,1,Upload Indicator,See Code Table
EODBODHS,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office
EODBODMS,E_DATE,D,8,End of Day Date,Date of EOD process or BOD process
EODBODMS,E_TIME,C,8,End of Day Time,Time that EOD process or BOD process ran
EODBODMS,E_MESS,C,50,End of Day Message,Describes what is occurring as EOD and BOD are running
EODBODMS,E_DESC,M,10,End of Day Description,Memo field that contains further details
EPSDTVST,PART_AGE,N,3,Participant Age,Participant's Age
EPSDTVST,NEXT_VISIT,N,3.1,Next Visit,Next Visit Date
FAMFEE,FAM_FEE_A,N,6.2,Family Fee Authorized Amount,Family Fee amount
FAMFEE,HSEHLD_N,N,2,Household Size,Number of People Living in the Household
FAMFEE,MIN_INC_A,N,6,Minimum Income,Minimum Income Amount Eligible
FAMFEE,MAX_INC_A,N,6,Maximum Income,Maximum Income Amount Eligible
FAMFEE,ADD_MIN_A,N,6,Additional Min Amount for Fam Size &gt; 5,Additional Minimum Fee Amount for Families with more than 5 people.
FAMFEE,ADD_MAX_A,N,6,Additional Max Amount for Fam Size &gt; 5,Additional Maximum Fee Amount for Families with more than 5 people.
FAMFEE,EFF_FROM_D,D,8,Effective From Date,Fee Effective Begin Date
FAMFEE,EFF_THRU_D,D,8,Effective Through Date,Fee Effective End Date
FAMFEE,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FAMFEE,OPERATOR_I,N,9,Operator ID,User Making Last Update
FASDINTV,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier
FASDINTV,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number
FASDINTV,EDC_D,D,8,EDC Date,Participant's EDC Date
FASDINTV,SERVICE_D,D,8,Service Date,Date of the Service
FASDINTV,PRS_GL_C,C,4,Drinking Goals,Participant's goals to reduce or quit drinking
FASDINTV,PRS_MXDR_N,N,3,Maximum Drinks per Week,The maximum number of drinks per week that the participant consumes.
FASDINTV,PRS_ITVM_N,N,3,Alcohol Intervention in Minutes,"The length, in minutes, of an intervention."
FASDINTV,PRS_HIPA_F,C,1,Sign HIPAA Consent Form,"""Y"" = Yes, ""N"" or Blank = No"
FASDINTV,PRS_SHRD_F,C,1,Share Record with Child's Doctor,"""Y"" = Yes, ""N"" or Blank = No"
FASDINTV,PRS_ASST_F,C,1,Type of Assistance,"""Y"" = Yes, ""N"" or Blank = No"
FASDINTV,PRS_APPT_F,C,1,Date of Appointment,"""Y"" = Yes, ""N"" or Blank = No"
FASDINTV,PRS_ASST_C,C,4,Type of Assistance,"See Code Table for Assistance Type descriptions
Cde_name_t = fasd_astyp"
FASDINTV,PRS_APT_D,D,8,Appointment Date,Date of appointment for assistance to stop drinking
FASDINTV,PRS_APT_T,C,6,Appointment Time,Time of appointment for assistance to stop drinking
FASDINTV,PRS_ATTD_F,C,1,Attended First Appointment,"""Y"" = Yes, ""N"" or Blank = No"
FASDINTV,PRS_CMT_M,M,4,Comments,Used to record additional notes
FASDINTV,FV_FLWUP_D,D,8,Date of Follow Up,Date of Follow-Up Visit
FASDINTV,FV_DRNKS_N,N,3,Four or More Drinks,Record participant's numeric answer
FASDINTV,FV_DRKPD_N,N,3,Number of Drinks per Day,Record participant's numeric answer
FASDINTV,FV_DAYS_N,N,3,Number of Days had a Drink,Record participant's numeric answer
FASDINTV,FV_FSTVS_F,C,1,Drinks Since First Visit,"""Y"" = Yes, ""N"" or Blank = No"
FASDINTV,RF_FLWUP_D,D,8,Follow up Date Since Referred,Date of Follow-Up Visit
FASDINTV,RF_ATAPT_F,C,1,Attended Referral Appointment,"""Y"" = Yes, ""N"" or Blank = No"
FASDINTV,RF_SRC_C,C,4,Source of Referral,"See Code Table for Source of Referral code descriptions
Cde_name_t = fasd_srinf"
FASDINTV,RF_RSN_M,M,4,Referral Reason,Record additional notes
FASDINTV,RF_EXIT_D,D,8,Exit Date,Date participant exited alcohol treatment or stopped obtaining assistance
FASDINTV,RF_VSATT_N,N,3,Number of Visits Attended,Record participant's numeric answer
FASDINTV,RF_CMPLT_C,C,4,participant Completed Alcohol Treatment,"""1"" = Yes
""2"" = No
""3"" = Don't know"
FASDINTV,RF_CMT_M,M,4,Comments,Used to record additional notes
FASDINTV,CB_FLWUP_D,D,8,Follow up Date After Child Birth,Date for follow up appointment after child is born.
FASDINTV,CB_RCSNT_F,C,1,participants Records sent to Child's Doctor,"""Y"" = Yes, ""N"" or blank = No"
FASDINTV,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FASDINTV,OPERATOR_I,N,9,Operator ID,User Making Last Update
FASDINTV,UPLOAD_F,C,1,Upload Indicator,See Code Table
FASDINTV,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office
FEEHIST,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number
FEEHIST,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier
FEEHIST,ENTRY_D,D,8,EIPGM Date of Record Entry,Date EIPGM record was added to Cornerstone
FEEHIST,BEG_FEE_D,D,8,Family Fee Period Begin Date,Date the Family Fee Period Begins
FEEHIST,END_FEE_D,D,8,Family Fee Period End Date,Date the Family Fee Period Ends
FEEHIST,EFF_FROM_D,D,8,Effective From Date,Begin Date that Fee is effective.
FEEHIST,EFF_THRU_D,D,8,Effective To Date,End Date that Fee is effective
FEEHIST,HSEHLD_N,N,2,Household Size,Number of People Living in the Household
FEEHIST,HSE_INC_A,N,6,Household Income,Total Income in the Household
FEEHIST,INC_PRF_C,C,4,Proof of Income Code,See Code Table for Proof of Income Code descriptions
FEEHIST,FAM_FEE_A,N,6.2,Family Fee Amount,Amount of Fee Applied
FEEHIST,CHNG_RSN_C,C,4,Reason for Fee Change Code,"If a change in the Family Fee has occurred, the reason is stored in this field. See Code Table"
FEEHIST,FR_LNAME_T,C,30,Last Name of Financially Responsible Person,Stores the Last Name of the Financially Responsible Person for billing purposes.
FEEHIST,FR_FNAME_T,C,14,First Name of Financially Responsible Person,Stores the First Name of the Financially Responsible Person for billing purposes.
FEEHIST,FR_SSN_T,C,9,SSN of Financially Responsible Person,Stores the Social Security Number of the Financially Responsible Person for billing purposes.
FEEHIST,UPLOAD_F,C,1,Upload Indicator,See Code Table
FEEHIST,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FEEHIST,OPERATOR_I,N,9,Operator ID,User Making Last Update
FEEHIST,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office
FIRANGE,BEG_RNGE_N,N,8,Begin Range,"FI Range Starting Number, generally the first FI in the printer."
FIRANGE,END_RNGE_N,N,8,End Range,FI Range Ending Number
FIRANGE,FI_RECVD_D,D,8,Date Received,Date that the clinic received the FIs.
FIRANGE,COMMENTS_M,C,50,Comments,Used to record additional notes
FIRANGE,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FIRANGE,OPERATOR_I,N,9,Operator ID,User Making Last Update
FIREGNL,FP_NBR_I,C,3,Food Package Number,The unique number used to identify the Food Package.
FIREGNL,FI_NBR_T,C,1,Food Instrument Number,The unique number used to identify the Food Instrument
FIREGNL,REGION_C,C,4,Region,Region Code. See Code Table
FIREGNL,FI_PRICE_A,N,6.2,Price,Price information for the food instrument
FIREGNL,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FIREGNL,OPERATOR_I,N,9,Operator ID,User Making Last Update
FIREGNL2,FP_NPR_I,C,3,Food Package Number,The unique number used to identify the Food Package
FIREGNL2,FI_NBR_T,C,1,Food Instrument Number,The unique number used to identify the Food Instrument
FIREGNL2,REGION_C,C,4,Region,Region Code. See Code Table
FIREGNL2,FI_PRICE_A,N,6.2,Price,Price information of the Food Instrument
FIREGNL2,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FIREGNL2,OPERATOR_I,N,9,Operator ID,User Making Last Update
FOODPKG,FP_NBR_I,C,3,Food Package Number,The unique number used to identify the Food Package
FOODPKG,FI_NBR_T,C,1,Food Instrument Number,The unique number used to identify the Food Instrument
FOODPKG,FI_QTY_N,N,3,Food Instrument Quantity,Amount of food products available with the Food Instrument
FOODPKG,FI_DESC1_T,C,34,Food Instrument Description,Description of the food products available
FOODPKG,FI_DESC2_T,C,34,Food Instrument Description,Description of the food products available
FOODPKG,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FOODPKG,OPERATOR_I,N,9,Operator ID,User Making Last Update
FOODPKG2,FP_NBR_I,C,3,Food Package Number,The unique number used to identify the Food Package
FOODPKG2,FI_NBR_T,C,1,Food Instrument Number,The unique number used to identify the Food Instrument
FOODPKG2,FI_QTY_N,N,3,Food Instrument Quantity,Amount of food products available with the Food Instrument
FOODPKG2,FI_DESC1_T,C,34,Food Instrument Description,Description of the food products available
FOODPKG2,FI_DESC2_T,C,34,Food Instrument Description,Description of the food products available
FOODPKG2,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FOODPKG2,OPERATOR_I,N,9,Operator ID,User Making Last Update
FOOT,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number
FOOT,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier
FOOT,VISIT_D,D,8,Visit Date,Date of Visit to Clinic
FOOT,FT_SIDE_F,C,1,Foot Flag (Left/Right),Field to indicate whether the left or right foot is being evaluated.
FOOT,RISK_CAT_C,C,1,Risk Category,"See Code Table for Risk Category descriptions
Cde_name_t = risk_ft_c"
FOOT,COMMENTS,M,10,Comments,Used to record additional notes
FOOT,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FOOT,OPERATOR_I,N,9,Operator ID,User Making Last Update
FOOT,UPLOAD_F,C,1,Upload Indicator,See Code Table
FOOT,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office
FORMTYPE,FORM_TYP_C,C,4,Form Type Code,Type of Form used
FORMTYPE,FRM_DESC_T,C,30,Format Description,Description of the Form
FORMTYPE,EDIT_F,C,1,Edit Indicator,"""Y"" = Yes, ""N"" = No"
FORMTYPE,EDT_TIME_N,N,3,Edit Time Period,Amount of days until note can no longer be edited
FORMTYPE,MOD_FRMT_F,C,1,User Modifiable Format Flag,"""Y"" = Yes, ""N"" = No"
FORMTYPE,FRM_TMPT_M,M,10,Format Template,Template for the form
FORMTYPE,CDE_STAT_C,C,1,Format Status Code,"""A"" = Active, ""I"" = Inactive"
FORMTYPE,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record
FORMTYPE,OPERATOR_I,N,9,Operator ID,User Making Last Update
FP25EROR,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number
FP25EROR,ER_NO,N,5,Error Number,Unique number to identify the error message
FP25EROR,ER_MSG,C,80,Error Message,The error that occurred
FP25EROR,KODE,C,120,Procedure Code,The procedure that was open when the error occurred.
FP25EROR,LINE_NO,N,7,Line Number,"In the source code, the line number where the error occurred."
FP25EROR,MMODUL,C,80,Module,Source Code location
FP25EROR,DDATE,D,8,Date,Date that the error occurred.
FP25EROR,TTIME,C,8,Time,Time that the error occurred.
FP25EROR,LAN_USER,C,12,LAN User,IP Address of workstation that error occurred on.
FP25EROR,OS,C,15,Operating System,Operating System information of the workstation that the error occurred on.
FP25EROR,MAC,C,17,Computer MAC Address,The physical IP address of the workstation that the error occurred on.
FP25EROR,UPLOAD_F,C,1,Upload Indicator,See Code Table
FP25EROR,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office
FP25EROR,NOTES,M,4,Notes Field,Used to store additional comments or notes
GENETICS,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number
GENETICS,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier
GENETICS,VISIT_D,D,8,Visit Date,Date
GENETICS,EMPL_ID_I,N,9,Employee ID,Provides a Link to the Employee Table
GENETICS,SRCERFRL_C,C,4,Source of Referral,See Code Table
GENETICS,RFRL_D,D,8,Referral Date,Date of Referral
GENETICS,APPT_D,D,8,Appointment Date,Referral Appointment Date
GENETICS,APPTKEPT_F,C,1,Appointment Kept,"""Y"" = Yes, ""N"" or blank = No"
GENETICS,RFRD_TO_T,C,30,Referred To,Used to record name of doctor
GENETICS,PRI_DIAG_C,C,4,Primary Diagnosis Code,"See Code Table for Primary Diagnosis Code descriptions
Cde_name_t = pri_diag_c"
GENETICS,FLWUP1_D,D,8,Follow Up Attempt 1 Date,Date of first follow up attempt
GENETICS,FLWUP2_D,D,8,Follow Up Attempt 2 Date,Date of second follow up attempt
GENETICS,FLWUP3_D,D,8,Follow Up Attempt 3 Date,Date of third follow up attempt
GENETICS,COMMENTS_M,M,4,Comments,Used to record additional notes
GENETICS,NBSPI01_F,C,1,Newborn Screening Positive Indicator 1,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI02_F,C,1,Newborn Screening Positive Indicator 2,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI03_F,C,1,Newborn Screening Positive Indicator 3,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI04_F,C,1,Newborn Screening Positive Indicator 4,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI05_F,C,1,Newborn Screening Positive Indicator 5,Checkmark = Yes
GENETICS,NBSPI06_F,C,1,Newborn Screening Positive Indicator 6,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI07_F,C,1,Newborn Screening Positive Indicator 7,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI08_F,C,1,Newborn Screening Positive Indicator 8,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI09_F,C,1,Newborn Screening Positive Indicator 9,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI10_F,C,1,Newborn Screening Positive Indicator 10,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI11_F,C,1,Newborn Screening Positive Indicator 11,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI12_F,C,1,Newborn Screening Positive Indicator 12,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSPI13_F,C,1,Newborn Screening Positive Indicator 13,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED01_F,C,1,Newborn Screening Education Materials 1,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED02_F,C,1,Newborn Screening Education Materials 2,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED03_F,C,1,Newborn Screening Education Materials 3,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED04_F,C,1,Newborn Screening Education Materials 4,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED05_F,C,1,Newborn Screening Education Materials 5,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED06_F,C,1,Newborn Screening Education Materials 6,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED07_F,C,1,Newborn Screening Education Materials 7,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED08_F,C,1,Newborn Screening Education Materials 8,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED09_F,C,1,Newborn Screening Education Materials 9,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED10_F,C,1,Newborn Screening Education Materials 10,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED11_F,C,1,Newborn Screening Education Materials 11,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED12_F,C,1,Newborn Screening Education Materials 12,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,NBSED13_F,C,1,Newborn Screening Education Materials 13,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,OTHPI01_F,C,1,Other Positive Indicator 1,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,OTHPI02_F,C,1,Other Positive Indicator 2,"Checkmark = Yes
No checkmark or blank = No"
GENETICS,OTHPI03_F,C,1,Other Positive Indicator 3,"Checkmark = Yes
No checkmark or blank = No"
